Wavenumbers [1/cm];Absorbance;
2994,000;0,1157891;
2992,000;0,1160611;
2990,000;0,1166263;
2988,000;0,1172838;
2986,000;0,118121;
2984,000;0,119085;
2982,000;0,1202818;
2980,000;0,1217933;
2978,000;0,1239332;
2976,000;0,1264417;
2974,000;0,1295036;
2972,000;0,1333874;
2970,000;0,1380963;
2968,000;0,1433572;
2966,000;0,1491867;
2964,000;0,1553477;
2962,000;0,1619787;
2960,000;0,1689194;
2958,000;0,1758401;
2956,000;0,1822584;
2954,000;0,1884036;
2952,000;0,1947725;
2950,000;0,2024112;
2948,000;0,2131956;
2946,000;0,2297994;
2944,000;0,2545389;
2942,000;0,2891532;
2940,000;0,3351265;
2938,000;0,3939492;
2936,000;0,4688331;
2934,000;0,5637994;
2932,000;0,6845307;
2930,000;0,8356158;
2928,000;1,027966;
2926,000;1,270402;
2924,000;1,591073;
2922,000;2,008342;
2920,000;2,593966;
2918,000;2,988686;
2916,000;2,593357;
2914,000;1,881831;
2912,000;1,43671;
2910,000;1,145451;
2908,000;0,9600282;
2906,000;0,8405647;
2904,000;0,7623712;
2902,000;0,7084279;
2900,000;0,6677569;
2898,000;0,63248;
2896,000;0,5991577;
2894,000;0,5666313;
2892,000;0,5339044;
2890,000;0,5011594;
2888,000;0,468576;
2886,000;0,4366858;
2884,000;0,4054338;
2882,000;0,375373;
2880,000;0,3466361;
2878,000;0,3206966;
2876,000;0,2988449;
2874,000;0,2823757;
2872,000;0,2723604;
2870,000;0,2687038;
2868,000;0,2709484;
2866,000;0,281144;
2864,000;0,3023746;
2862,000;0,3401645;
2860,000;0,4023058;
2858,000;0,5020859;
2856,000;0,658638;
2854,000;0,9026624;
2852,000;1,268543;
2850,000;1,742778;
2848,000;1,69911;
2846,000;1,137953;
2844,000;0,7566837;
2842,000;0,5360484;
2840,000;0,4091702;
2838,000;0,3347442;
2836,000;0,2888488;
2834,000;0,2584535;
2832,000;0,2373364;
2830,000;0,2216372;
2828,000;0,2092245;
2826,000;0,1989883;
2824,000;0,1904902;
2822,000;0,1833706;
2820,000;0,1774348;
2818,000;0,1722736;
2816,000;0,1677823;
2814,000;0,1637712;
2812,000;0,1601928;
2810,000;0,156889;
2808,000;0,1540312;
2806,000;0,1513799;
2804,000;0,1489005;
2802,000;0,1465683;
2800,000;0,1443355;
2798,000;0,1421899;
2796,000;0,1402103;
2794,000;0,138225;
2792,000;0,1362419;
2790,000;0,1342502;
2788,000;0,1323464;
2786,000;0,1306111;
2784,000;0,1289672;
2782,000;0,1273705;
2780,000;0,1258951;
2778,000;0,1245909;
2776,000;0,1233518;
2774,000;0,1222566;
2772,000;0,1212745;
2770,000;0,1203374;
2768,000;0,1194493;
2766,000;0,1186341;
2764,000;0,1178427;
2762,000;0,117164;
2760,000;0,116459;
2758,000;0,1157794;
2756,000;0,1151102;
2754,000;0,1145203;
2752,000;0,1139555;
2750,000;0,1134661;
2748,000;0,1130723;
2746,000;0,1128978;
2744,000;0,1127182;
2742,000;0,1124896;
2740,000;0,1122143;
2738,000;0,1118604;
2736,000;0,1115234;
2734,000;0,1111012;
2732,000;0,1106336;
2730,000;0,1101608;
2728,000;0,1096374;
2726,000;0,1091301;
2724,000;0,1087083;
2722,000;0,1082475;
2720,000;0,1078644;
2718,000;0,1074464;
2716,000;0,107077;
2714,000;0,1067114;
2712,000;0,1064094;
2710,000;0,1060493;
2708,000;0,1057665;
2706,000;0,1054146;
2704,000;0,105056;
2702,000;0,1046184;
2700,000;0,1042198;
2698,000;0,1038191;
2696,000;0,1034806;
2694,000;0,1031845;
2692,000;0,1029369;
2690,000;0,1027347;
2688,000;0,1025853;
2686,000;0,1024617;
2684,000;0,1023725;
2682,000;0,1022699;
2680,000;0,1021998;
2678,000;0,1021937;
2676,000;0,1022656;
2674,000;0,1024072;
2672,000;0,1026266;
2670,000;0,1028982;
2668,000;0,1031287;
2666,000;0,1033342;
2664,000;0,1034633;
2662,000;0,1035227;
2660,000;0,1034476;
2658,000;0,1032681;
2656,000;0,1030706;
2654,000;0,1028085;
2652,000;0,1025701;
2650,000;0,1023289;
2648,000;0,1020906;
2646,000;0,1019964;
2644,000;0,1019462;
2642,000;0,1019669;
2640,000;0,1020371;
2638,000;0,1020708;
2636,000;0,1020417;
2634,000;0,1019455;
2632,000;0,1016463;
2630,000;0,1011391;
2628,000;0,1005253;
2626,000;0,09988642;
2624,000;0,0992707;
2622,000;0,09867144;
2620,000;0,09808576;
2618,000;0,09752738;
2616,000;0,09695768;
2614,000;0,09641433;
2612,000;0,09587348;
2610,000;0,09533453;
2608,000;0,09491336;
2606,000;0,09447169;
2604,000;0,09407496;
2602,000;0,09365439;
2600,000;0,09329712;
2598,000;0,09295368;
2596,000;0,09262741;
2594,000;0,09222734;
2592,000;0,09188795;
2590,000;0,09142923;
2588,000;0,09101367;
2586,000;0,0906235;
2584,000;0,09026301;
2582,000;0,08991289;
2580,000;0,08954322;
2578,000;0,08921373;
2576,000;0,08889925;
2574,000;0,08855224;
2572,000;0,08821595;
2570,000;0,08791983;
